CENSUS_CODE_2011|VILLAGE|DISTRICT|STD_STATE_CODE|CITY|PINCODE
060700359057499|BICHPARI|AMBALA|HARYANA|AMBALA|133004
060700359057360|DHANKAUR|AMBALA|HARYANA|AMBALA|134003
060700359057503|DHANORA|AMBALA|HARYANA|AMBALA|133004
060700359057502|DHANORI|AMBALA|HARYANA|AMBALA|133203
060700359057403|DHORALI|AMBALA|HARYANA|AMBALA|134003
060700359057365|DHURKRA|AMBALA|HARYANA|AMBALA|134003
060700359057475|GETPURA|AMBALA|HARYANA|AMBALA|133301
060700359057434|GHAGRU|AMBALA|HARYANA|AMBALA|134003
060700359057378|GHASITPUR|AMBALA|HARYANA|AMBALA|133004
060700359057442|HASANPUR|AMBALA|HARYANA|AMBALA|135001
060700359057431|ISMAILPUR|AMBALA|HARYANA|AMBALA|134003
060700359057481|JANSUI|AMBALA|HARYANA|AMBALA|134003
060700359057480|JANSUYA|AMBALA|HARYANA|AMBALA|134003
060700359057348|KALARHERI|AMBALA|HARYANA|AMBALA|133005
060700359057444|MEHMUDPUR|AMBALA|HARYANA|AMBALA|133104
060700359057411|MIRZAPUR|AMBALA|HARYANA|AMBALA|133004
060700359057504|MOHRA|AMBALA|HARYANA|AMBALA|133004
060700359057417|MOHRI|AMBALA|HARYANA|AMBALA|134003
060700359057441|NAGAL|AMBALA|HARYANA|AMBALA|134003
060700359057466|NIHARSA|AMBALA|HARYANA|AMBALA|134003
060700359057461|NIHARSI|AMBALA|HARYANA|AMBALA|134003
060700359057355|NIZAMPUR|AMBALA|HARYANA|AMBALA|135101
060700359057494|NURPUR|AMBALA|HARYANA|AMBALA|133004
060700359057374|OGARA|AMBALA|HARYANA|AMBALA|134202
060700359057429|QURABANPUR|AMBALA|HARYANA|AMBALA|135021
060700359057476|ROSHANPURA|AMBALA|HARYANA|AMBALA|134003
060700359057439|SAKHRAON|AMBALA|HARYANA|AMBALA|134003
060700359057385|SHAHABPURA|AMBALA|HARYANA|AMBALA|135001
060700359057497|SHAHABPURA|AMBALA|HARYANA|AMBALA|135001
060700359057414|THARWA|AMBALA|HARYANA|AMBALA|133004
060700360057597|BHUDIAN|AMBALA|HARYANA|BARARA|133102
060700360057616|GHALRI|AMBALA|HARYANA|BARARA|134204
060700360057561|GOLI|AMBALA|HARYANA|BARARA|134003
060700360057570|KAKAR KUNDA|AMBALA|HARYANA|BARARA|134012
060700360057638|KAMBAS|AMBALA|HARYANA|BARARA|133205
060700360057639|KAMBASI|AMBALA|HARYANA|BARARA|133205
060700360057556|MEHMUDPUR|AMBALA|HARYANA|BARARA|133104
060700360057615|RAJAULI|AMBALA|HARYANA|BARARA|133201
060700360057577|SARDA HERI|AMBALA|HARYANA|BARARA|133206
060700360057598|SEMLA|AMBALA|HARYANA|BARARA|135102
060700360057545|TEPLA|AMBALA|HARYANA|BARARA|133104
060700360057579|ZAFARPUR|AMBALA|HARYANA|BARARA|134202
060700358057313|BAKTUHA|AMBALA|HARYANA|NARAINGARH|134203
060700358057290|BARA GAON|AMBALA|HARYANA|NARAINGARH|134203
060700358057314|BARHERI CHHOTI|AMBALA|HARYANA|NARAINGARH|133204
060700358057241|BHERON|AMBALA|HARYANA|NARAINGARH|135101
060700358057330|CHAND SAULI|AMBALA|HARYANA|NARAINGARH|134203
060700358057230|CHAUTAN|AMBALA|HARYANA|NARAINGARH|133203
060700358057305|GANAULI|AMBALA|HARYANA|NARAINGARH|134203
060700358057172|GAZIPUR|AMBALA|HARYANA|NARAINGARH|135133
060700358057200|GHARAULI|AMBALA|HARYANA|NARAINGARH|134202
060700358057243|JANGOO MAJRA|AMBALA|HARYANA|NARAINGARH|134203
060700358057265|JANGU MAJRA|AMBALA|HARYANA|NARAINGARH|134202
060700358057334|MAWA KHERI|AMBALA|HARYANA|NARAINGARH|135003
060700358057320|MIRZAPUR KATH|AMBALA|HARYANA|NARAINGARH|134203
060700358057181|MUKANDPUR|AMBALA|HARYANA|NARAINGARH|134202
